instant,date,season,year,month,is_holiday,weather_situation,casual,registered,total_rented
693,2012-11-23,Winter,2012,Nov,0,Clear / Few clouds,1603,2307,3910
694,2012-11-24,Winter,2012,Nov,0,Clear / Few clouds,532,1745,2277
695,2012-11-25,Winter,2012,Nov,0,Clear / Few clouds,309,2115,2424
696,2012-11-26,Winter,2012,Nov,0,Clear / Few clouds,337,4750,5087
697,2012-11-27,Winter,2012,Nov,0,Mist / Cloudy,123,3836,3959
698,2012-11-28,Winter,2012,Nov,0,Clear / Few clouds,198,5062,5260
699,2012-11-29,Winter,2012,Nov,0,Clear / Few clouds,243,5080,5323
700,2012-11-30,Winter,2012,Nov,0,Clear / Few clouds,362,5306,5668
701,2012-12-01,Winter,2012,Des,0,Mist / Cloudy,951,4240,5191
702,2012-12-02,Winter,2012,Des,0,Mist / Cloudy,892,3757,4649
703,2012-12-03,Winter,2012,Des,0,Clear / Few clouds,555,5679,6234
704,2012-12-04,Winter,2012,Des,0,Clear / Few clouds,551,6055,6606
705,2012-12-05,Winter,2012,Des,0,Clear / Few clouds,331,5398,5729
706,2012-12-06,Winter,2012,Des,0,Clear / Few clouds,340,5035,5375
707,2012-12-07,Winter,2012,Des,0,Mist / Cloudy,349,4659,5008
708,2012-12-08,Winter,2012,Des,0,Mist / Cloudy,1153,4429,5582
709,2012-12-09,Winter,2012,Des,0,Mist / Cloudy,441,2787,3228
710,2012-12-10,Winter,2012,Des,0,Mist / Cloudy,329,4841,5170
711,2012-12-11,Winter,2012,Des,0,Mist / Cloudy,282,5219,5501
712,2012-12-12,Winter,2012,Des,0,Mist / Cloudy,310,5009,5319
713,2012-12-13,Winter,2012,Des,0,Clear / Few clouds,425,5107,5532
714,2012-12-14,Winter,2012,Des,0,Clear / Few clouds,429,5182,5611
715,2012-12-15,Winter,2012,Des,0,Clear / Few clouds,767,4280,5047
716,2012-12-16,Winter,2012,Des,0,Mist / Cloudy,538,3248,3786
717,2012-12-17,Winter,2012,Des,0,Mist / Cloudy,212,4373,4585
718,2012-12-18,Winter,2012,Des,0,Clear / Few clouds,433,5124,5557
719,2012-12-19,Winter,2012,Des,0,Clear / Few clouds,333,4934,5267
720,2012-12-20,Winter,2012,Des,0,Mist / Cloudy,314,3814,4128
721,2012-12-21,Spring,2012,Des,0,Mist / Cloudy,221,3402,3623
722,2012-12-22,Spring,2012,Des,0,Clear / Few clouds,205,1544,1749
723,2012-12-23,Spring,2012,Des,0,Clear / Few clouds,408,1379,1787
724,2012-12-24,Spring,2012,Des,0,Mist / Cloudy,174,746,920
725,2012-12-25,Spring,2012,Des,1,Mist / Cloudy,440,573,1013
726,2012-12-26,Spring,2012,Des,0,Light Rain / Snow,9,432,441
727,2012-12-27,Spring,2012,Des,0,Mist / Cloudy,247,1867,2114
728,2012-12-28,Spring,2012,Des,0,Mist / Cloudy,644,2451,3095
729,2012-12-29,Spring,2012,Des,0,Mist / Cloudy,159,1182,1341
730,2012-12-30,Spring,2012,Des,0,Clear / Few clouds,364,1432,1796
731,2012-12-31,Spring,2012,Des,0,Mist / Cloudy,439,2290,2729
